,Text,subjectivity,polarity
433,realdonaldtrump thnx biden,1,1
434,washingtonpost election stolen yes support trump biden not president,1,0
435,mitchellreports joebiden senatemajldr really barbara disparaging thing say joe biden today read tweet mlkmitch remember leader civil right wonder else going try rebrand check nap,1,0
436,biden better not try mr side move clean house,1,0
437,trump thanks republican congressman challenge biden victory,0,2
438,biden thanks realdonaldtrump going take credit since brought,0,2
439,jaketapper joebiden cnn cnnsitroom jake must happy fauci enabling biden investigated,1,0
440,cnn exclusive biden say ask american wear mask first day office,0,2
441,biden kamala right weighing want go history despicable candidate ever office would working cloud disgust america knowing cheated way door,1,0
442,president elect joe biden predicting bleak future congress take speedy action coronavirus aid bill amid nationwide spike virus hampering nation recovery,0,2
443,jayfreedomto wotusisme j young juliebee jackysinaz nicolearbour ammconservative keprdad liquidlaugh mrslvandco popstherock gadsaad geraldorivera lisachristinect nani booboo donnatruthgod something make sense sidneypowell jennaellisesq rudygiuliani suppose biden ballot run time vote hand recount reveal illegally improperly cast,1,0
444,emeraldrobinson congrats joe biden trump lost accept fraud lt not widespread enough change state lower court scotus stole,1,1
445,want people defy odds look dead overcame death vote biden,1,0
446,far president elect biden cabinet pick resulted republican objection one nominee tweeted mean thing politician oh shock thing time change nerve call u snowflake lol,1,0
447,saltyfootball danielnewman realdonaldtrump braindead voter voted trump not biden,1,1
448,newsmax gregkellyusa agree biden get whitehouse mean honestly care truth justice country usa grew loving sad soon proof state cheated president,1,0
449,realtjm breaking sfchronicle biden know hell going someone want chaos soon,1,0
450,cnn exclusive biden say ask american wear mask first day office april,0,2
451,chrismcclorey bernardkerik going find vote biden,1,0
452,abdulkadirnur critical disc beckettverde ninaturner cornelwest jacobinmag bernie total bullshit quote joe biden friend person left would ever take position liberal spout foolishness obtuseness,1,0
453,im fucking pissed want trump think biden good word fuck,1,1
454,biden call day mask wearing among first act amid covid pandemic,0,2
455,biden call day mask inauguration foxnews inaugurated talking wearing mnths safe outbreak,1,0
456,biden back tanden republican attack tweet via politico,0,2
457,biden say dr anthony fauci chief medical adviser,0,2
458,realdonaldtrump joe biden vote count,1,0
459,coloneldax gregpmiller not biden u,1,1
460,biden steal trump america first slogan new interview via westjournalism,0,2
461,realdonaldtrump lady gentleman th president united state first lady joe jill biden dog champ,1,0
462,foxnews bad biden see day white house,1,0
463,joe biden employing child eat veggie get spoonful keep coaxing finish strategy day mask wearing proposal sly approve,1,0
464,dr fauci turn month staying job advising joe biden,0,2
465,jim jordan million people voted biden also got vote candidate history american fed lawless show wh ever due pandemic mail get,1,1
466,biden grinch cancel christmas not traveling holiday via tpinsidr,1,0
467,derricknaacp proud black woman say agenda incoming administration back hell biden fool naacp consider not even office amp bitching already stop,1,1
468,donald trump foreign policy leaf behind destruction opportunity joe biden,0,2
469,hurdlescraig ronniebroomhall ppv tahoe rudygiuliani sidneypowell jennaellisesq exactly trump camp might accuse biden really go low,1,1
470,goofytiger deadpool heddy holygoresword msmgmt count pointoh acosta dumb selfish see proof fraud even care want dumbass like biden office give money country people million realize left,1,1
471,crony keemstar cause black thanks biden thats messed,1,0
472,perhaps forgot trump first question president elect russian collusion flynn putin comey show biden pretty bland comparison cnn pushing narrative get kid glove treatment hypocrite,1,0
473,breitbartnews funny trump loser trying paint china new enemy failed attempt biden wait till admin leaf office world live peace living rent free,1,1
474,dailycaller administration biden idiot,1,0
475,lapp pierre jefftutorials realdonaldtrump wow buy russian propaganda biden hiding acting like responsible leader unlike trump whine loss everything else,1,1
476,biden keeping fauci chief medical adviser,0,2
477,spy chief john ratcliffe urge joe biden not fire special counsel durham,0,2
478,realdonaldtrump seanhannity sorry sir think enough read already spent million recounting vote biden winning president power overturn fair election evidence,1,1
479,chrislhayes medium type need start treating gop like threat american life insert scare term covid crisis biden dem enablers keep hyping bipartisanship ghoul condemned well,1,0
480,cnnpolitics georgia smoking video prof election theft biden going jail,1,0
481,archbishop chaput holy courageous call spade biden,0,2
482,joebiden neeratanden obama biden came office u losing job month million people home action took crisis returned economy healthy growth initiated longest streak job creation record,1,1
483,biden never degrade reporter asking question respect human being something important say read tweet refreshing doubt qualified people around stay place trump whitehouse revolving door,1,1
484,realdonaldtrump wall street love biden,1,1
485,realdonaldtrump wow really covid raging still worried sock market resign let biden take control checked,0,2
486,til medium realdonaldtrump biden win,1,1
487,danielabsolute nattie lindahe foxnews exactly hopping boxcar next march biden president,0,2
488,bnodesk ha biden keep dreaming never going sitting chair meant first black female say loosely wanted not someone gon na stroke second,1,0
489,bobvrbanac marklevinshow biden cheated win,1,0
490,delusional leftist trend biden vaccine president trump operation warp speed prepares deliver,0,2
491,happy hear dr fauci joining biden administration,1,1
492,realdonaldtrump biden,1,1
493,sunlovergirl ali surprised really believed fraud cry would prosper abhor cult leader voted biden outnumbered million time let sink,1,1
494,biden say doj remain independent not going telling saying go prosecute b c role justice department people,0,2
495,realdonaldtrump biden going president,1,1
496,barrytbarker jennaellisesq not putrump leaf office mcconnell work daily sabotage biden legislation amp nation trumpshevik reign terror shape gop long vile crime go unpunished hr restoremediafairness,1,1
497,nataliejharp vote trump nope biden,1,1
498,ap cnn anyone wear mask already wearing one not want simply harping incessantly show biden know else get virus control,1,0
499,got get rid reading hannity tweet biden made camillia along sick quit mean good old face would president,1,0
500,thanks biden good luck trump,1,0
501,realdonaldtrump oh offered money vote biden understand correctly better offering vote asking voter four time day huge amount pay private debt oops meant giuliani,1,0
502,ltima hora ultimo acuerdo amlo trump da frutos gran noticia biden se via youtube,0,2
503,biden commits u climate leadership brian deese exciting prospect key post next administration worth watch,0,2
504,alito responds appeal asking block biden win pa daily wire,0,2
505,thedemocrats biden not president elect election process even done yet foolish count chicken hatched,1,0
506,fine dressed man planning wear tie president biden inauguration,0,2
507,tiffmcginnis idiot white house need disinfected inauguration move trump belonging amp biden,1,1
508,realbasedmaga informing biden give shit,1,0
509,tvnewshq joe biden clue senator president,1,0
510,scary brock wan na trade place buffalo ny lem know think biden voter outnumbered surrounded head screwed wrong reference prior tweet context,0,2
511,kelemencari jaxx last dying wish vote biden,0,2
512,lindyli americancrawl maybe president biden seek recount audit work correctly,1,0
513,joe biden policy return normal would inadequate decisively defeat trumpism,1,1
514,danpfeiffer help biden supporting veteran subscribe mean every word video trump po sure retweet,1,1
515,realdonaldtrump confidence biden,1,1
516,realdonaldtrump biden fraudulent must new election,1,0
517,lowkell cablueblaze cunningcindy valid critique constituent quoted photographed ny time rare thing worked hard elect biden proud need best candidate governor yes woman,1,1
518,jim jordan actually congressman hit fundamental difference dr fauci amp work american people continue biden administration work trump question gone,0,2
519,yossieweinberg redistrict trump well orthodox jew also relative republican hispanic biden improvement hillary almost entirerly non city dweller,1,1
520,breitbartnews care biden say far concerned go jump train going mile hour,1,0
521,steal election hope get caught anyone asked joe biden,1,0
522,stillgray ocraziocornpop disputed feral biden supporter stay sending complaint everyone dont agree,1,0
523,thesagedeity aaronjmate ilhanmn ok many way gon na avoid talking biden past three post particular thread sidetracked trump,1,0
524,biden predicts bleak future congress act aid,0,2
525,news maker need many next year roll drivvel every night wonderful biden wife charming caring anything go wrong caused trump hit different day obama tape photoshop bidens,1,1
526,sillymansherzad copingmaga gon na joe biden anyone win presidential election get person year since carter president would get point tenure,1,1
527,loefflerseye teamtrump security footage going get people hurt show committing criminal conspiracy action know biden win powerful pay crime,1,0
528,cnnnewsroom mrjoncryer brikeilarcnn think little bit reason behave way know biden make list start planning punishment decent mature person butt hurt bad behavior focus job,1,0
529,bodhi rudygiuliani yeah bro fake ballot boring tabulator hooked internet kicking poll watcher still counting vote went towards biden not even democrat ballot lot proof shown court,1,0
530,jim crow land ownership spur black farmer appeal biden many owner not trust process hamilton said reason heir property prevalent taken advantage,0,2
531,taggartslug feisty fl music chuck shumers ear hey wait biden gun tax green new deal awesome,1,1
532,imnotowned thing also marked campaign site kind idea biden sign yard cost,0,2
533,kds amuse want look like communist france vote biden,1,0
534,trump biden election voiceyouropinion democrat republican protest community police via clapper,0,2
535,gloriaborger hi gloria question ask trump decides come back yr mean nothing worry mr biden took care everything hopefully,1,1
536,cheah michael nickadamsinusa realdonaldtrump chinnazi loved biden want fool,1,0
537,evidence medium ignore remember biden said need vote win presidential election know joe put together think extensive inclusive voter fraud organization history american politics,1,0
538,bbcworld president elect joe biden say covid vaccination not mandatory u,0,2
539,davidcorndc thanks biden win,1,1
540,thomassova joenbc morning joe tomricks jmeacham tremendous respect forjohn meecham always found interesting insightful informative however lost regard upon hearing not candid involvement biden campaign appearing show election,1,0
541,ncuea every student deserves future livable planet neatoday must use power largest union country apply extreme pressure biden administration make greennewdeal reality climatejustice,0,2
542,biden say stimulus check may still play covid relief talk jacobpramuk kevinwilliamb,0,2
543,catturd nah think biden bastard trying sniff little girl father stomped foot,1,0
544,arizona rush certify biden win ignoring evidence suggesting frau via youtube,1,0
545,biden warns economy stalling dire job report call urgent action covid stimulus,0,2
546,shabbus taka inaru marceelias question biden come replace office,0,2
547,cant tell election not rigged happened front eye watching u tv melbourne trump far ahead biden winning landslide something stopped counting really legit president,1,0
548,acosta transferring biden basement thanks update ball bagger,0,2
549,eiggam right still excuse happy hour hour day biden president wean stuff,1,0
550,president elect biden public figure not sue asshole like rep hice georgia libel slander even congressman tell lie,1,1
551,republican senator say people eventually accept biden not job smartnews coward every single one senategop housegop,1,1
552,eric garcetti failed local issue including homelessness mass transit policing fuck fail forward cabinet position biden administration say joe,0,2
553,nancysinatra biden made right choice,1,1
554,aoc see la lakers applied got federal money crazy right bastard,0,2
555,biden could make baseless claim voter fraud state trump get legislator somehow take back certification unless gop put foot go amp term office jan,1,0
556,msnbc biden take january,0,2
557,tweet disappear biden omb nominee neera tanden twitter feed,0,2
558,thehill create chaos biden,1,0
559,joe biden fix soon legally,1,1
560,realdonaldtrump biden vote count,1,0
561,wtf dejoy not removed biden power lie postal service governing board six member appointed trump due republican controlled senate blocking slate president barack obama nominee year,0,2
562,realdonaldtrump biden president,1,1
563,biden rehired fauci,0,2
564,jakesherman lol biden not president,1,0
565,brookealirn coltfan stillgray people get arrested every election fraud since joe biden winner night dems taking stance form common knowledge non existent amp anyone posting evidence get canceled not corrected,1,0
566,realdonaldtrump biden elected,1,1
567,jb imtheassistman realdonaldtrump thank common sense voter fraud would see bigger scale electoral vote count biden higher win state like tx fl also senate flipped,1,0
568,reuters trump inauguration bigger biggest biden fan voter fraud,1,0
569,beltway insider biden transition trump pardon iran covid surge dinkins black friday,0,2
570,marceelias first appeal recount loss second biden county landslide umm wtf smdh,1,1
571,theelderleto republican biden sad say really liked account encouragement one time thought deck stacked amp harris,1,0
572,see electoral vote might get disputed place biden cheated,1,0
573,move biden cancel shit,0,2
574,whenever democrat say must unite give biden fair chance know took office msm would sugarcoat everything place pedestal pelosi call unfit kamala take might imposed tax make,1,0
575,im told ballot biden hope get counted congressmanhice,1,1
576,president elect biden opportunity unite country many issue divisive american agree time fix broken political system add name tell make fighting corruption first priority,1,1
577,u election kellyanne conway admits joe biden beat trump,0,2
578,nomcnobody bradheath one state think get state biden need pitching fit,1,0
579,kylegriffin biden drag u home execute not wearing one commie fuck,1,0
580,realdonaldtrump thats not stock market optimistic biden president loser,1,1
581,matthew dpwimm realdonaldtrump electoral college give biden suppose fake corrupt point accept actually simple people voted like happened,1,1
582,congbillposey thejusticedept realdonaldtrump obviously post office everything could stop people voting biden joke right,1,1
583,timrunshismouth joe biden,0,2
584,one hand wh reporter privately pushing incoming biden staff restore pre trump press norm fete chief enabler year massacre clearly price pay treated,0,2
585,stephenpunwasi aoc donated biden harris know ship american job back china amp mexico basically voting opposite stand big corporation want cheap foreign labor trump want economic nationalism america first,1,0
586,koat news biden wear strapon backwards whole presidency care,1,0
587,biden asks fauci stay become chief medical advisor new administration,0,2
588,biden ask american wear mask day,0,2
589,biden urge wearing mask first day office,0,2
590,realdonaldtrump diaperdonald fanboy biden knew,1,1
591,biden student loan forgiveness plan bc wan na pack n start somewhere esle,0,2
592,republican lawmaker likens trump vote fraud crusade search hashtag result toxic election donald v joe biden fwn freeworldnews,0,2
593,tell speakerpelosi tone deaf even president biden said need stimulus check need resign,0,2
594,ta meya teamtrump rudygiuliani matter r al real ballot humor trump maybe recount start mail first trumped knew losing least tight race million landslide win biden,1,1
595,gop gopchairwoman tell rinos georgia want vote already planning making deal fake president elect biden realdonaldtrump going rally tomorrow leoffler perdue llinwood,1,0
596,jennaellisesq jenna people downright cruel biden sworn january th giving false hope sleep night,1,1
597,realdonaldtrump said would crash biden elected wtf,1,1
598,cnn exclusive biden say ask american wear mask first day office,0,2
599,good see incoming biden administration reached china allowed use famous moon film set used armstrong,1,1
600,realdonaldtrump look good biden campaign not involved still quite level asking amp receiving russian help,0,2
601,zaniey alexanderdrogon ale realdonaldtrump talking ever excepting beijing biden never family history traced civil war daddy retired air force officer respect country president elected trash talk world,1,0
602,pivonkamrs renayellis aldotcom medium reported news electoral college going winner joe biden,1,1
603,judgejeanine thefive jeanine need report election fraud like never fox people biden nothing going irresponsible fix know reason lost viewer traitor,1,0
604,scheme trump using keep political appointee power biden administration,1,1
605,expected gop challenger lost pennsylvania supreme court filed scotus emergency injunction ahead petition appeal none election law expert spoken think shot disturbing biden certified win pa,1,1
606,native trump azman garrett archer according audited election canvas biden super simple welcome,0,2
607,bananniannie baxterboo sarahwi gopleader speakerpelosi biden nothing reason held hurt trump think lost ok help people not shit deserves zero credit,1,0
608,donie seantdel medwoman geewheezie charles heinz dougiefreshii gopkleptocrat politicspot mariiynrivers calijeff cunningmarshal imvala miss simone juliesc kparker kim bobc byebye trump litalianovero grandma boom houseofjames zaharias quidrises everything say digivorr j man aimhighffw pwrcane middlemolly bogala justwhatnowwhy trumpsugar gorillastyle futiletresist pedro paz visitor suminemo tourguidej ej livewithlove pittstock jacob tomag riseup camp terrence goofygary fuqtrump maryannechisho annableigh drsmdhdaily jamesokeefei project veritas lol philly fibbing stole election legitimate president everyone good degree intelligence know biden illegitimate elect,1,0
609,semaj drof emolaborunion leftycrypto dan quayle not resign senate jan rd al gore joe biden,1,0
610,aw genx thebradfordfile proceeding court fraud time wake trump lost biden landslide million vote,1,1
611,realdonaldtrump thank biden,1,1
612,brendaa cala newaigreen paulamnelms donithedon usmcmil scottypatriot ladyredwave latiffani sjorolan john dhiggins jwspry drew conservative group ask house democrat demand joe biden bank record,1,0
613,sorry lay biden not enough diversity appointment crap let man first get elected chrissakes,1,1
614,realdonaldtrump thank president elect biden,1,1
615,kylegriffin never happen cuz biden administration fired soon good,1,0
616,hfry mlive yet voted abortion loving biden harris ticket,1,0
617,realdonaldtrump president biden awesome truthful inspiring press conference,1,1
618,newschannelnine speaking year old bet thought going biden,1,0
619,fox nola thought dreamed biden winning almost panicked,1,0
620,biden georgia not twice thrice,1,1
621,speakertimjones true last year time seemed though democracy would defeated ala back biden harris jan wearadamnmask,1,1
622,funder age biden said old except fit trump train wreck like young best luck hot mess oh potential legal issue boot tho,1,1
623,realdonaldtrump trump rigging election biden,1,0
624,aspengirl anital foxnews follow light not darkness j biden trump walk jesu never put shame,1,0
625,ryanlcooper theplumlinegs not hard needle thread vote fraud pretty easy message understand dems worry voter turnout biden harris win make mission seem accomplished,1,0
626,proviewsusa cw doubling tds trump neofascist wing ruling class narcissistic nutcase stealth fascist whoever running puppet biden ffs guy need retire already old folk need find somewhere enjoy twilight yr,1,1
627,stanssy biden said not comfortable rushed vaccine administration,0,2
628,fiorella im double standard not say bernie criticized failed u miserably endorsing biden primary come even le spine endorsement made dropped,1,0
629,jaketapper hi jake kindly relay compassionate christmas proposal president elect joe biden million landlord might willing forgive vulnerable tenant december rent make call invoking sacrifice help build america back better,0,2
630,realdonaldtrump thank biden,1,1
631,nickslizz rebeccacpayton derdrako jimsciutto nah not kidding read tweet see saying yes trump voter election day biden mail predicted count poll close take time actually get counted make sense,1,1
632,dailycaller kylenabecker day huh nice round number like must come directly science gfy biden,1,0
633,tomekk briturner martinshewfelt itsjefftiedrich realdonaldtrump fight exactly mean blonde bimbo lied day lost court case plus reject repeal william barr rejecting trump lunacy spending million give biden vote need stop grab rare tissue,1,0
634,president elect joe biden ask american wear mask first day office plus asked dr anthony fauci stay optimism growing relief deal congress latest,0,2
635,tvnewshq going call joe biden stay basement,1,1
636,newsmax gregkellyusa yes right biden not agree harry anything fraud vote election together,1,0
637,tweettruth clear joe biden committed build bear america bickled back biter vaccine get crap ear listen,1,1
638,letter asking pennsylvania federal delegation dispute state win biden every issue cited undermining election law litigated court one ballot deadline republican,1,0
639,see biden appointed minister silly walk,1,0
640,redstateresists staying inside house time since last january cheering biden harris innauguration,1,1
641,xoxopatrioticrn realdonaldtrump yeah best man biden,1,1
642,president elect joe biden long signaled seek u reentry participation iran nuclear deal jcpoa brokered prior obama administration,0,2
643,saracarterdc danielhoffmandc really election still not called president elect biden therefore camp merely playing fantasy administration,1,0
644,biden never president anyone think lying,1,0
645,kamalaharris joebiden lost job obama biden president house train foreigner kicked thanks excellent system,1,0
646,biden not easily undo damage u credibility make alliance security relationship resilient paradoxically trump made task easier incoming president via foreignaffairs,0,2
647,revehive iemonyeri went vote biden j,1,1
648,titusnation going bust campaign biden inauguration day,0,2
649,cnni much unlike biden made sure get connection military industrial complex order make everything going smooth upcoming war,1,1
650,good idea leadership think different would today trump told american wear mask amp worn one instead criminal callous indifference biden say ask first day potus,1,1
651,cnn exclusive biden say ask american wear mask first day office politics,0,2
652,jimmyofflagstaf seanhannity need money ignorant saying biden ask pay debt think people mad right lmfao,1,0
653,joebiden biden way better trump alredy proving not wanted want let give centrist vision republican reject wish bernie elected least wouldnt walk,1,0
654,doublehh rd jasapollo nafnared thesupercheckm add argument dnc signaled biden preferred candidate voter understood signal voted wanted vote considering michigan week super tuesday point still stand,1,0
655,took le month trump loss president elect joe biden hudson county official change course reaffirm detention contract ice,1,1
656,realdonaldtrump american died hour not damn thing thank god gone soon someone care take biden,1,1
657,coronavirus live news biden ask american wear mask day global death pas,0,2
658,biden camp refuse rebuke china u intel report revealing influence campaign targeting transition via raheemkassam,0,2
659,amandabecker thnews kellyannepolls yea biden want help example not advisor,1,0
660,antiaquariusage pikachuevie vice not biden supporter yes like basketball pretty pathetic digging stuff talk nothing important say lmao,1,0
661,ingrahamangle funny compare biden turd punch bowl,1,0
662,realdonaldtrump good see investor continuing celebrate president elect biden,1,1
663,kylegriffin well thats biden even get office not looking good today hopefully trump win legal battle fire fauci false claim flip flop amp keeped child school mt say absolutely safe,1,0
664,trump ersatz transparency biden deliver real thing,0,2
665,honest fail short truth biden corruption around,1,0
666,realdonaldtrump thank president elect joe biden leadership guy lame duck trying take credit everything like campaign spokeswoman said trump vaccine got hell laugh one,1,1
667,semperdiced kidding one upset end part fauci biden crew,0,2
668,realdonaldtrump remember course leading anymore never fucking game well lost biden office better,1,1
669,biden say ask american wear mask day inaugurated say screw,1,0
670,theage biden appeal say vaccinated allows party inside white house right,1,1
671,cindykendrick wear knee pad biden still get,1,0
672,censor since politics joke bruh like rest celebrity get payed biden,1,0
673,lloydon rudygiuliani argument hold anymore kind footage show reach table special delivery time rig election box filled biden ballot guess people ok,1,0
674,doomsdaydreams marceelias actually biden trump quit shortly end term president penny pardon,1,1
675,joyannreid appreciate biden read game right yes need ga not get anything done long killer democracy still controlling senate,1,0
676,forecasterenten biden much better wny hillary,1,1
677,thundersticks johncardillo lol white flag see jan th rightful president biden sworn,1,1
678,realdonaldtrump thank joe biden kicking donald trump as,1,1
679,cnn exclusive biden say ask american wear mask first day office,0,2
680,natepritchard garswoodlatic conservative joshuamfagen agentc marisakabas yes believe people hate trump much would even vote biden majority wanted make sure not elected hard understand,1,0
681,kegan wolferinep mcgregorgirl ecgolc martuk jimbo always jbsparky lou bruette dogsbcool ccinthemiddle kyhorn blitzer anti liberal david magausa screamngeagle michaelsanewman cns cam islesfaninfla richcarnaggio trash jeffrocks bubbaflaco tenn guy brialalexi sandrasbreen biden call day mask inauguration exception fk,1,0
682,biden puzxle world one know even going think specially say,1,0
683,mimigiwonder senjohnthune waiting putin congratulate biden maybe,1,0
684,loudobbs tomfitton lying cheating biden never president,1,0
685,questcnn year postpone biden interview breaking news beniamin mincu elrond mark word,1,0
686,feel like done something good country making sure donald trump not going president four year biden said,0,2
687,pretty sure mean biden win electoral vote,1,1
688,coderincrisis hey know biden cat want,0,2
689,charlesppierce come coloradan voted biden hickenlooper colorado democratic controlled state congress as got put u voter worked hard,1,0
690,thomaskaine iamlucretiamott bjwinnerdavis wendymeer winnerbrittany biden not talking joebiden,0,2
691,magainca jmboh tweettruth not mention red social credit score card anyway bc twitter use china system thought biden camp know,1,0
692,dannyklotz donaldjtrumpjr strangely dead covid victim voted biden weird,1,0
693,jsplendor rashidatlaib biden not win election gang nominee dropped super tuesday bernie walking away democratic nomination course little help dems,1,0
694,kellyanne conway acknowledges biden apparent winner presidential election,0,2
695,biden could get medicare without congress via youtube,0,2
696,duckforpres damn biden based nd time,1,0
697,flotus whitehouse biden really like tennis court built sure using start packing,1,1
698,fauci meet biden landing team first time,0,2
699,daisyontop markhigbee joebiden well look like biden saving rent temp office abandoned theater,1,0
700,realdonaldtrump said would crash biden elected wrong,1,1
701,archiepurple everything trimble complains applied throughout duration gfa wa preserve status quo biden eu understand,1,1
702,joeltkurth joncoopertweets fraud biden would got minus vote detroit open eye,1,0
703,realdonaldtrump joe biden restoring economic confidence,1,1
704,biden climate plan shake global energy market,0,2
705,nickowen cominagetcha point arguing anymore regurgitates stuff matter say lost ability think critically civil argument reality check biden inauguration,1,1
706,anthonysabatini yes joe biden finally trump destruction,1,1
707,joyannreid senatemajldr tedcruz twas night biden coming town creature raving clown trap destruction laid care hope new bos would caught unaware,1,0
708,ok since bobby helped trump carry florida jopa voted biden pennsylvania coach bowden get pardon dadgummed win back riggedncaa,0,2
709,energy joe biden tulsi,0,2
710,jenn pellegrino highlight federalist piece joe biden magical via youtube,0,2
711,realdonaldtrump biden effect way go joe,1,1
712,mpolletta little known fact biden support thatcher not first time u helped kick argie as lexington raid anyone p,0,2
713,everyone mortal trump reminded u reassigned fauci basement biden chance fiasco election lesson learned,1,1
714,prernaplal think biden coming next month feel like hollow victory,1,0
715,chuckcallesto biden world started lol must abiden rule,1,0
716,cnn exec protect biden dismissing refusing pursue pedophilia via youtube cnnpr jeffzuckercnn unbelievably despicable,0,2
717,itsjefftiedrich realdonaldtrump bro obviously see street medium said joe biden joke,1,0
718,oh ffs trump trying give biden shit fix take office administration appoints loyalist corey lewandowski david bossie defense business board,1,1
719,teamtrump realdonaldtrump flotus looking forward seeing another massive trump crowd something mr hurt toe biden could never pull lanslide,1,0
720,therecount abbydphillip hell care ask mcconnell talked biden stating fact president elect,0,2
721,look llke million vote president elect biden lame duck donnie boy admitting entire trumpcrimesyndicate need pardon many crime traitortrumpadmitsguilt,1,1
722,terranomaly filled online affidavit request form giuliani sent told jeffrey epstein actually inhabiting joe biden corpse changing vote telepathically vote give power must stopped late,1,0
723,feeling spurned trump u n see redemption biden team,0,2
724,continues china new puppet biden get line ccp official saddest part unlike russia collusion debacle proven top intelligence official say targeting incoming administration,1,0
725,heerjeet say landslidin biden k vote million cast,1,0
726,rustyzeigler baron wm realgoofygoon repmattgaetz realdonaldtrump sore loser jerk obama interested rally saving men benghazi biden fooling chinese u want say happy trail going let foreigner hope afford,1,0
727,realdonaldtrump let explain end joe biden president,1,1
728,president biden normal sane little boring word wonderful,1,0
729,heathmcdonald asheystew lesdog sky still blue water wet not evidence read court transcript ruling judge counting ruled joe biden president massive fraud cheating aside republican charged,1,1
730,elisestefanik millermeeks admit know detail case comment heard outrage total lack voter fraud evidence put forth potus acceptance biden president elect slap face american voter,1,0
731,joe biden georgia st straight day winning via thebaxterbean,1,1
732,transition know biden receive zero support progressive future election since election helped win done nothing give u finger,1,0
733,david perdue appears tacitly acknowledge biden victory video call republican group,0,2
734,truth exactly gop trump planned month shld biden win unamerican traitor,1,1
735,miafarrow hope biden ton bodyguard watchful violent trump appointee,1,1
736,realdonaldtrump rhe biden crash,1,0
737,immigration environment really job effing moron biden quickly take office,1,0
738,need fauci biden potus covered,1,0
739,msnbc jason johnson hit biden think mcconnell work covid relief learned anything last year smartnews true,1,0
740,realdonaldtrump donn thanks president joe biden,1,1
741,girlielonghorn boudicea joebiden ignore hater biden county yet performed place pennsylvania detroit philly atlanta milwaukee decide election pretty much thr state yes video suitcase hidden ballot came,1,1
742,remembering one house delivered pizza dont like biden harris sign front lawn automatically put like politician much least wasnt trump,1,0
743,pentagon block visit military spy agency biden transition team,0,2
744,conservativemma angelamarieada anniehowes jim jordan lmao ok go wait next q drop guide best get knee dear leader please keep donating money grift fund storm kraken im sure itl day youre not fool world around u luck biden,1,0
745,blackcatunloads debiowens would really nice get check christmas speakerpelosi cost food gas much left holiday cheer hopefully biden helpful new year help great,1,1
746,biden presidency realize got talk something get trouble ten time interesting everything involved contesting election,1,0
747,jeffrey zients expected named biden coronavirus coordinator,0,2
748,hewonbigly howecaptivate cabbageintheblo scrowder biden cheat like saying jeffrey epstein kill safe bet correct cheated otherwise argument could labelled conspiracy derailing entire message,1,0
749,jdiamond jaketapper excuse obvious doc already working biden quite long f part old boy club government two go way back employee not appointed reported,0,2
750,nickadamsinusa time biden confess extortion ukraine,1,0
751,katalin pota cubanthuglfe marilynsarelas proviewsusa b e df ce f leefellerguy op omom marilynrbush lilytwinkle sys revolt rinnefred sabrina officer anonskrongus anonareus stickhandler torstrick andyleeparker verse h xassan willmcj carolynurban alykat thelieinbelieve ttaesarang timmins nodank calfdevin theboredshow redberetsm yuyanami hq tweetyp sabachay aclevernickname march progress xena warrior euroyankeeblog icm bizzle scott okawesum mellismusic mnosdivad real politik lefty life humantumor redtail antifuc biden nothing voting machine designed rig election ever since instigation decade ago rigged primary general nelson rockefeller began use democrat primary bernie,1,0
752,richardknaidu watching u president elect vice first joint interview biden cited administration pursuit closer tie pacific move loosen region relationship china australia usa avid geopolitical focus,0,2
753,noahsarkcrypto man could seen coming biden president pay friend lost respect would paid day network called equivalent not paying sport bet bc ref,1,0
754,china still need united state leverage exercised effectively jooeysiiu offer recommendation incoming biden administration confront challenge,0,2
755,erictrump thanks president elect biden,1,1
756,elisefoley trumplican party death threat maybe biden could increase size fbi enough agent hunt evil doer lock away,1,1
757,realdonaldtrump said would crash biden elected ate joke,1,1
758,newsmax repdougcollins seanspicer clear evidence fraud headline news worldwide wow biden,1,0
759,wtf biden vaccine trending fuck politicizing virus,1,0
760,ivanpentchoukov joshjphilipp china ir n chiming biden win,0,2
761,rawstory lying cheating biden never president,1,0
762,realdonaldtrump breaking biden national popular vote lead surpassed million trump,0,2
763,realdonaldtrump whitehouse biden president elect leaving,1,1
764,realdonaldtrump biden idiot,1,1
765,rottymom chop matic rudygiuliani ever hear thing called statistic besides matter want honest election biden fair square seen read not,1,0
766,durham investigation russia probe hamper biden presidency,0,2
767,december joe biden still election,1,1
768,kingslim bagelgrenade jayelwillow manavjivan realdonaldtrump kloeffler sendavidperdue briankempga december exactly agreed nothing overturn biden elected month ago president elect till jan straight,1,1
769,realdonaldtrump biden american trump u v dude shit president divisive not wait cry isnt hear day,1,1
770,course sham one meet two latest biden say fauci chief medical adviser,1,0
771,overloadpow therockettmann joe biden built police state right,1,1
772,magnatom watch video clip entire tower block cheering biden got past,0,2
773,president elect joe biden ask american wear mask first day office plus asked dr anthony fauci stay optimism growing relief deal congress latest,0,2
774,saracarterdc brianth course biden bump,1,0
775,biden president kind shit america not playing,1,0
776,agentcoopr kylegriffin exactly not wearing mask biden call wear one anybody responsive asked already board,1,0
777,president elect joe biden said spoke dr anthony fauci need instill confidence coronavirus vaccine,0,2
